symbol,label,pressure_side,bucket,n,bid_add_p50,bid_add_p90,bid_add_mean,bid_cxl_p50,bid_cxl_p90,bid_cxl_mean,bid_net_p50,bid_net_p90,bid_net_mean,ask_add_p50,ask_add_p90,ask_add_mean,ask_cxl_p50,ask_cxl_p90,ask_cxl_mean,depth_p50,depth_p90,depth_mean,mid_chg_p50,mid_chg_p90,mid_chg_mean,ticks_p50,ticks_p90,ticks_mean,repl_ratio_p50,repl_ratio_p90,repl_ratio_mean,ask_net_p50,ask_net_p90,ask_net_mean
PF_XBTUSD,MEDIAN,BUY,50-90%,234,82.828,185.8514,101.1771,87.8953,184.8126,102.6249,,,,98.2521,232.9452,118.7554,101.2847,224.4012,120.1055,313.5774,343.1002,310.9779,2.0,9.0,2.8412,2.0,9.0,3.5923,0.0,207.7425,315.7585,-0.8334,19.2144,-1.35
PF_XBTUSD,MEDIAN,BUY,90-95%,160,91.1453,188.9917,110.2844,90.6462,200.6239,111.476,,,,98.4263,220.6247,127.1971,103.1584,225.3746,132.2688,311.9424,344.0294,305.1848,3.0,10.55,3.6844,3.75,11.0,5.2094,0.0548,681.9769,664.2684,-1.389,6.897,-5.0717
PF_XBTUSD,MEDIAN,BUY,95-99%,164,76.2054,187.0067,96.2154,77.7307,184.6583,96.795,,,,75.3136,197.5007,103.0629,74.4662,215.8647,105.6968,315.5136,348.6999,313.5164,1.0,10.0,2.8018,2.0,10.7,3.9787,7.0435,309.6411,377.4342,-0.6104,8.5738,-2.6339
PF_XBTUSD,MEDIAN,BUY,top-1%,36,125.3577,243.5289,142.4686,126.7294,247.9016,144.3814,,,,155.2159,348.2563,169.0606,164.5488,356.2244,176.7867,290.4508,338.767,283.2016,7.0,21.5,8.9583,7.0,21.5,10.0139,41.0003,24661.7293,14231.1793,0.4097,15.9015,-7.726
PF_XBTUSD,HIGH,SELL,0-50%,2748,79.1765,167.1969,93.1178,76.5851,168.9874,91.8226,0.6347,14.5015,1.2951,68.9698,162.2657,86.0994,68.1738,163.8021,86.0887,376.8973,421.5668,367.9974,0.0,6.0,1.0222,1.0,7.0,2.5031,0.0,9.6118,699.838,,,
PF_XBTUSD,HIGH,SELL,50-90%,492,118.5637,234.2497,135.2963,123.1876,246.8905,140.1945,-2.1597,20.6415,-4.8982,88.7258,175.1387,104.3217,86.9919,193.3324,104.5895,368.7407,415.1339,360.1238,-3.0,4.0,-3.0285,4.0,10.45,5.0325,0.0,260.05,936.5578,,,
PF_XBTUSD,HIGH,SELL,90-95%,180,111.406,275.6017,144.894,111.3367,295.1362,146.9937,-0.6342,15.5101,-2.0997,92.3106,214.8545,113.3264,90.8108,220.6286,113.8104,377.1548,418.1886,369.627,-0.5,8.0,-1.5278,4.5,12.05,5.2167,4.9475,263.7275,144.0115,,,
PF_XBTUSD,HIGH,SELL,95-99%,144,108.7403,254.59,141.0294,104.6015,277.9001,146.028,-1.355,17.849,-4.9986,82.1612,193.9363,106.9066,79.4972,196.184,105.8268,392.1466,427.4035,376.1009,-2.0,2.5,-3.5451,4.0,12.7,5.3646,3.862,168.9984,118.9845,,,
PF_XBTUSD,HIGH,SELL,top-1%,36,129.3321,396.8348,211.8573,134.1527,416.7965,205.6838,-0.2642,80.8824,6.1735,109.7627,313.5385,146.4254,108.6197,289.0516,139.0315,345.8287,397.4882,338.8267,-7.5,1.25,-8.3611,8.25,16.5,9.8333,8.0848,1023.9971,551.3704,,,
PF_XBTUSD,HIGH,BUY,0-50%,2173,84.9029,192.734,104.0863,84.0129,195.4209,104.0952,,,,70.6585,149.1321,82.2957,68.6523,150.2406,81.0773,371.4557,420.3055,362.5932,0.0,3.0,-1.0582,1.0,7.0,2.593,0.0,0.0,168.9473,0.4445,13.1946,1.2184
PF_XBTUSD,HIGH,BUY,50-90%,1067,76.4013,170.0793,94.2609,75.9673,176.4615,94.8843,,,,70.1824,172.3967,89.6994,69.7077,176.6884,90.614,386.5537,422.8279,379.2697,0.0,7.0,0.8215,2.0,8.0,3.1963,0.0,171.8537,554.4909,0.0779,10.6711,-0.9146
PF_XBTUSD,HIGH,BUY,90-95%,180,112.9165,233.5246,131.5119,109.2368,229.1484,125.8249,,,,130.7109,231.9689,139.686,132.0621,240.2875,144.5399,380.5547,418.4783,367.9991,4.0,12.1,4.275,5.0,13.0,5.9583,0.0,249.9138,178.1235,-2.4557,15.4599,-4.8538
PF_XBTUSD,HIGH,BUY,95-99%,144,109.8455,242.0726,132.7999,110.8655,258.4447,131.205,,,,122.8179,276.8553,146.9547,123.8417,285.5035,149.1208,358.2918,412.1127,351.1407,4.0,12.0,3.8077,5.0,12.4,5.9196,9.7903,2691.0,3474.3976,-0.1703,17.6541,-2.166
PF_XBTUSD,HIGH,BUY,top-1%,36,173.1013,331.0657,192.1684,173.4521,347.458,200.372,,,,166.8231,418.5326,226.3663,171.9876,476.7612,233.42,352.1672,401.7893,331.3077,5.25,28.5,9.4583,7.75,28.5,12.5972,33.326,20820.3749,26547.4058,-3.7579,40.2762,-7.0537
PF_ETHUSD,LOW,SELL,0-50%,2992,490.9875,2180.9943,831.0078,445.8955,2175.5366,804.6627,6.219,462.8359,26.345,492.56,2331.1056,890.3658,457.313,2318.7996,884.8322,2971.7615,3586.2436,2941.7001,0.0,0.2,0.03,0.0,2.5,0.8527,0.0,0.0,25.3296,,,
PF_ETHUSD,LOW,SELL,50-90%,238,1124.3565,3068.7478,1412.3163,1352.884,3107.7174,1537.8156,-38.2885,242.827,-125.4994,826.2555,2718.7783,1168.4632,869.2385,2652.9814,1178.3248,2754.8855,3414.5341,2728.1823,-0.1,0.15,-0.1164,1.75,4.0,1.9958,0.0,60.9184,83.526,,,
